"","Parameter","Relative.Error.at.Medians"
"1","diversificationRate_1",0.0631709544210294
"2","diversificationRate_2",0.0593391282554356
"3","diversificationRate_3",0.0620156650488597
"4","diversificationRate_4",0.0618818735036358
"5","turnover_1",0.146923571148718
"6","turnover_2",0.209259593495252
"7","turnover_3",0.236008067291142
"8","turnover_4",0.287669510833641
"9","samplingProportion_1",0.14715208608966
"10","samplingProportion_2",0.229193240343031
"11","samplingProportion_3",0.146869584655634
"12","samplingProportion_4",0.233591138742371
"13","samplingAtPresentProb",0.0706740528164094
"14","mrca",0.0554416417845815
"15","origin",0.0781448867412023
